Detector,Descriptor,Image,Total Keypoints,Keypoints on vehicle,Detector Time,Descriptor Time,Matches
BRISK,BRISK,2,2741,282,272.093,2.66772,185
BRISK,BRISK,3,2735,277,257.423,2.58773,172
BRISK,BRISK,4,2757,297,247.426,2.80951,176
BRISK,BRISK,5,2695,279,249.353,3.93656,178
BRISK,BRISK,6,2715,289,258.93,2.84519,195
BRISK,BRISK,7,2628,272,254.217,2.59596,178
BRISK,BRISK,8,2639,266,247.095,2.58059,178
BRISK,BRISK,9,2672,254,277.448,2.41624,168
""
BRISK,BRIEF,0,2757,264,251.263,1.35,0
BRISK,BRIEF,1,2777,282,268.122,0.877749,174
BRISK,BRIEF,2,2741,282,250.558,0.952408,172
BRISK,BRIEF,3,2735,277,301.597,1.51615,162
BRISK,BRIEF,4,2757,297,283.708,0.842377,167
BRISK,BRIEF,5,2695,279,271.767,0.78427,172
BRISK,BRIEF,6,2715,289,266.993,1.20551,184
BRISK,BRIEF,7,2628,272,268.438,0.867606,179
BRISK,BRIEF,8,2639,266,251.6,0.802444,177
BRISK,BRIEF,9,2672,254,247.002,0.775327,163
""
BRISK,ORB,0,2757,264,249.734,3.95105,0
BRISK,ORB,1,2777,282,253.447,3.75721,177
BRISK,ORB,2,2741,282,247.871,3.68689,189
BRISK,ORB,3,2735,277,247.746,3.55223,163
BRISK,ORB,4,2757,297,248.426,3.31998,174
BRISK,ORB,5,2695,279,249.966,4.07206,178
BRISK,ORB,6,2715,289,249.522,3.4192,185
BRISK,ORB,7,2628,272,247.262,3.57139,174
BRISK,ORB,8,2639,266,249.993,3.65486,174
BRISK,ORB,9,2672,254,285.51,5.47781,168
""
BRISK,FREAK,0,2757,264,300.316,38.6992,0
BRISK,FREAK,1,2777,282,286.733,38.4865,159
BRISK,FREAK,2,2741,282,253.165,32.0105,177
BRISK,FREAK,3,2735,277,249.243,32.1536,161
BRISK,FREAK,4,2757,297,250.579,31.7604,170
BRISK,FREAK,5,2695,279,249.133,31.9287,159
BRISK,FREAK,6,2715,289,249.445,31.9893,176
BRISK,FREAK,7,2628,272,253.001,33.0499,168
BRISK,FREAK,8,2639,266,247.634,31.72,172
BRISK,FREAK,9,2672,254,249.413,31.8929,152
""
BRISK,SIFT,0,2757,264,253.259,37.2631,0
BRISK,SIFT,1,2777,282,249.316,31.0909,166
BRISK,SIFT,2,2741,282,249.074,32.0808,180
BRISK,SIFT,3,2735,277,248.901,32.3467,161
BRISK,SIFT,4,2757,297,249.084,33.1019,173
