Detector,Descriptor,Image,Total Keypoints,Keypoints on vehicle,Ratio,Detector Time,Descriptor Time,Time Together,Matches
HARRIS,FREAK,3,121,21,0.17355371900826447,7.27326,31.6808,38.95406,15
HARRIS,FREAK,4,160,26,0.1625,7.27963,30.5831,37.86273,18
HARRIS,FREAK,5,383,43,0.1122715404699739,10.5386,32.0875,42.6261,21
HARRIS,FREAK,6,85,18,0.21176470588235294,6.98345,30.5669,37.55035,17
HARRIS,FREAK,7,210,31,0.14761904761904762,7.31031,30.5068,37.81711,17
HARRIS,FREAK,8,171,26,0.15204678362573099,7.9025,36.9401,44.842600000000004,20
HARRIS,FREAK,9,281,34,0.12099644128113879,9.85788,30.9935,40.85138,19
HARRIS,FREAK,AVG,173.7,24.8,0.15307275030984033,8.623498999999999,31.80175,40.425249,15.2
""
HARRIS,SIFT,0,115,17,0.14782608695652175,14.8356,18.441,33.2766,0
HARRIS,SIFT,1,98,14,0.14285714285714285,10.3158,15.0578,25.3736,13
HARRIS,SIFT,2,113,18,0.1592920353982301,9.67067,15.6439,25.31457,13
HARRIS,SIFT,3,121,21,0.17355371900826447,9.40853,14.8945,24.30303,15
HARRIS,SIFT,4,160,26,0.1625,9.40982,15.1215,24.53132,17
HARRIS,SIFT,5,383,43,0.1122715404699739,11.5381,15.3475,26.8856,25
HARRIS,SIFT,6,85,18,0.21176470588235294,10.5618,17.4533,28.015099999999997,16
HARRIS,SIFT,7,210,31,0.14761904761904762,9.66201,16.6021,26.264110000000002,16
HARRIS,SIFT,8,171,26,0.15204678362573099,9.28359,15.1404,24.42399,23
HARRIS,SIFT,9,281,34,0.12099644128113879,10.3049,15.1537,25.4586,23
HARRIS,SIFT,AVG,173.7,24.8,0.15307275030984033,10.499082,15.885570000000001,26.384652,16.1
""
FAST,BRISK,0,5063,419,0.08275725854236618,1.70878,4.64357,6.35235,0
FAST,BRISK,1,4952,427,0.08622778675282713,1.67635,4.49542,6.17177,268
FAST,BRISK,2,4863,404,0.08307629035574748,1.53289,3.68869,5.221579999999999,273
FAST,BRISK,3,4840,423,0.08739669421487603,1.53632,3.71549,5.25181,262
FAST,BRISK,4,4856,386,0.07948929159802307,1.54785,3.53512,5.0829699999999995,261
FAST,BRISK,5,4899,414,0.08450704225352113,1.55019,4.50163,6.051819999999999,255
FAST,BRISK,6,4870,418,0.08583162217659138,1.70292,3.65529,5.35821,270
FAST,BRISK,7,4868,406,0.08340180772391126,1.56834,3.55934,5.12768,273
FAST,BRISK,8,4996,396,0.07926341072858287,1.60239,3.62404,5.22643,267
FAST,BRISK,9,4997,401,0.0802481488893336,1.63912,3.52029,5.15941,266
FAST,BRISK,AVG,4920.4,409.4,0.08321993532357802,1.606515,3.8938880000000005,5.500403,239.5
""
FAST,BRIEF,0,5063,419,0.08275725854236618,1.75909,1.86722,3.62631,0
FAST,BRIEF,1,4952,427,0.08622778675282713,2.3462,2.51041,4.85661,289
FAST,BRIEF,2,4863,404,0.08307629035574748,1.61725,1.25744,2.87469,297
FAST,BRIEF,3,4840,423,0.08739669421487603,1.56453,1.22643,2.79096,289
FAST,BRIEF,4,4856,386,0.07948929159802307,1.58932,1.10233,2.69165,285
FAST,BRIEF,5,4899,414,0.08450704225352113,1.55658,1.17809,2.7346700000000004,271
FAST,BRIEF,6,4870,418,0.08583162217659138,1.60226,1.16487,2.76713,298
FAST,BRIEF,7,4868,406,0.08340180772391126,1.57666,1.27031,2.84697,291
FAST,BRIEF,8,4996,396,0.07926341072858287,1.60836,1.12698,2.73534,285
FAST,BRIEF,9,4997,401,0.0802481488893336,1.88374,1.58144,3.46518,291
FAST,BRIEF,AVG,4920.4,409.4,0.08321993532357802,1.710399,1.428552,3.138951,259.6
""
FAST,ORB,0,5063,419,0.08275725854236618,1.69632,1.58532,3.2816400000000003,0
FAST,ORB,1,4952,427,0.08622778675282713,1.66972,1.30174,2.97146,289
FAST,ORB,2,4863,404,0.08307629035574748,1.55906,1.33194,2.891,297
FAST,ORB,3,4840,423,0.08739669421487603,1.55427,1.17676,2.73103,283
FAST,ORB,4,4856,386,0.07948929159802307,1.53464,1.27517,2.8098099999999997,288
FAST,ORB,5,4899,414,0.08450704225352113,1.54364,1.13579,2.67943,278
FAST,ORB,6,4870,418,0.08583162217659138,1.56126,1.19571,2.75697,295
FAST,ORB,7,4868,406,0.08340180772391126,1.59275,1.69319,3.28594,287
FAST,ORB,8,4996,396,0.07926341072858287,1.60733,1.8585,3.46583,284
FAST,ORB,9,4997,401,0.0802481488893336,1.63039,1.15237,2.7827599999999997,285
FAST,ORB,AVG,4920.4,409.4,0.08321993532357802,1.594938,1.370649,2.965587,258.6
""
FAST,FREAK,0,5063,419,0.08275725854236618,1.92243,36.926,38.84843,0
FAST,FREAK,1,4952,427,0.08622778675282713,2.02507,35.7512,37.77627,263
FAST,FREAK,2,4863,404,0.08307629035574748,1.88518,32.844,34.72918,263
FAST,FREAK,3,4840,423,0.08739669421487603,1.54819,32.4368,33.984989999999996,261
FAST,FREAK,4,4856,386,0.07948929159802307,1.53719,32.6716,34.20879,261
FAST,FREAK,5,4899,414,0.08450704225352113,2.13754,38.5606,40.69814,264
FAST,FREAK,6,4870,418,0.08583162217659138,1.91482,35.6633,37.57812,275
FAST,FREAK,7,4868,406,0.08340180772391126,1.57951,33.5493,35.12881,273
FAST,FREAK,8,4996,396,0.07926341072858287,1.59305,32.4446,34.03765,258
FAST,FREAK,9,4997,401,0.0802481488893336,1.74217,34.681,36.42317,269
FAST,FREAK,AVG,4920.4,409.4,0.08321993532357802,1.7885150000000003,34.552839999999996,36.341355,238.7
""
FAST,SIFT,0,5063,419,0.08275725854236618,1.86775,34.501,36.36875,0
FAST,SIFT,1,4952,427,0.08622778675282713,1.8717,28.4036,30.2753,301
